Объем бочки - 84.1, тип содержимого - Мед, материал бочки - Сталь
Объем бочки - 297.6, тип содержимого - Вино, материал бочки - Дерево
Объем бочки - 302.4, тип содержимого - Соль, материал бочки - Сталь
Объем бочки - 340.2, тип содержимого - Виски, материал бочки - Дерево
Объем бочки - 354.1, тип содержимого - Пиво, материал бочки - Пластик
Объем бочки - 408.9, тип содержимого - Бензин, материал бочки - Пластик
Объем бочки - 413.9, тип содержимого - Яблоки, материал бочки - Сталь
Объем бочки - 420.1, тип содержимого - Пиво, материал бочки - Сталь
Объем бочки - 433.2, тип содержимого - Вино, материал бочки - Сталь
Объем бочки - 434.6, тип содержимого - Виски, материал бочки - Дерево
Объем бочки - 444.0, тип содержимого - Яблоки, материал бочки - Сталь
Объем бочки - 499.0, тип содержимого - Зерно, материал бочки - Сталь
Объем бочки - 523.7, тип содержимого - Пиво, материал бочки - Пластик
Объем бочки - 557.7, тип содержимого - Яблоки, материал бочки - Пластик
Объем бочки - 577.6, тип содержимого - Зерно, материал бочки - Сталь
Объем бочки - 704.6, тип содержимого - Вода, материал бочки - Сталь
Объем бочки - 751.4, тип содержимого - Соль, материал бочки - Сталь
Объем бочки - 802.7, тип содержимого - Яблоки, материал бочки - Дерево
Объем бочки - 857.2, тип содержимого - Виски, материал бочки - Пластик
Объем бочки - 976.3, тип содержимого - Пиво, материал бочки - Дерево
